Classifier, TDMatrix, Tree_id, accuracy, precision, recall, f1_score
RF, Count, 0, 0.7881773399014779, 0.24404761904761904, 0.9534883720930233, 0.3886255924170616
RF, TF-IDF, 0, 0.8637110016420362, 0.3360655737704918, 0.9534883720930233, 0.496969696969697
RF, Count, 1, 0.8637110016420362, 0.32456140350877194, 0.8604651162790697, 0.47133757961783435
RF, TF-IDF, 1, 0.8669950738916257, 0.33035714285714285, 0.8604651162790697, 0.4774193548387097
RF, Count, 2, 0.8702791461412152, 0.34210526315789475, 0.9069767441860465, 0.4968152866242038
RF, TF-IDF, 2, 0.8735632183908046, 0.34545454545454546, 0.8837209302325582, 0.4967320261437908
RF, Count, 3, 0.8998357963875205, 0.40625, 0.9069767441860465, 0.5611510791366907
RF, TF-IDF, 3, 0.8555008210180624, 0.3140495867768595, 0.8837209302325582, 0.46341463414634143
RF, Count, 4, 0.8850574712643678, 0.36893203883495146, 0.8837209302325582, 0.5205479452054794
RF, TF-IDF, 4, 0.8456486042692939, 0.3023255813953488, 0.9069767441860465, 0.45348837209302323
RF, Count, 5, 0.8752052545155994, 0.3486238532110092, 0.8837209302325582, 0.5000000000000001
RF, TF-IDF, 5, 0.8407224958949097, 0.30714285714285716, 1.0, 0.46994535519125685
RF, Count, 6, 0.8620689655172413, 0.3247863247863248, 0.8837209302325582, 0.47500000000000003
RF, TF-IDF, 6, 0.8817733990147784, 0.3669724770642202, 0.9302325581395349, 0.5263157894736843
RF, Count, 7, 0.9129720853858785, 0.44565217391304346, 0.9534883720930233, 0.6074074074074075
RF, TF-IDF, 7, 0.896551724137931, 0.38372093023255816, 0.7674418604651163, 0.5116279069767442
RF, Count, 8, 0.8177339901477833, 0.2702702702702703, 0.9302325581395349, 0.418848167539267
RF, TF-IDF, 8, 0.8013136288998358, 0.25316455696202533, 0.9302325581395349, 0.3980099502487563
RF, Count, 9, 0.8768472906403941, 0.3431372549019608, 0.813953488372093, 0.4827586206896552
RF, TF-IDF, 9, 0.8604269293924466, 0.2980769230769231, 0.7209302325581395, 0.42176870748299317
RF, Count, 10, 0.825944170771757, 0.2733812949640288, 0.8837209302325582, 0.4175824175824176
RF, TF-IDF, 10, 0.8275862068965517, 0.27205882352941174, 0.8604651162790697, 0.41340782122905023
RF, Count, 11, 0.8834154351395731, 0.36538461538461536, 0.8837209302325582, 0.5170068027210885
RF, TF-IDF, 11, 0.8916256157635468, 0.37894736842105264, 0.8372093023255814, 0.5217391304347826
RF, Count, 12, 0.8653530377668309, 0.34146341463414637, 0.9767441860465116, 0.5060240963855421
RF, TF-IDF, 12, 0.8653530377668309, 0.3106796116504854, 0.7441860465116279, 0.4383561643835616
RF, Count, 13, 0.90311986863711, 0.4069767441860465, 0.813953488372093, 0.5426356589147288
RF, TF-IDF, 13, 0.8292282430213465, 0.25984251968503935, 0.7674418604651163, 0.388235294117647
RF, Count, 14, 0.8784893267651889, 0.36036036036036034, 0.9302325581395349, 0.5194805194805194
RF, TF-IDF, 14, 0.8883415435139573, 0.38317757009345793, 0.9534883720930233, 0.5466666666666666
RF, Count, 15, 0.8817733990147784, 0.36936936936936937, 0.9534883720930233, 0.5324675324675324
RF, TF-IDF, 15, 0.8702791461412152, 0.34210526315789475, 0.9069767441860465, 0.4968152866242038
RF, Count, 16, 0.8472906403940886, 0.3046875, 0.9069767441860465, 0.45614035087719307
RF, TF-IDF, 16, 0.8949096880131363, 0.3939393939393939, 0.9069767441860465, 0.5492957746478873
RF, Count, 17, 0.8653530377668309, 0.3211009174311927, 0.813953488372093, 0.46052631578947373
RF, TF-IDF, 17, 0.8686371100164204, 0.32038834951456313, 0.7674418604651163, 0.4520547945205479
RF, Count, 18, 0.8784893267651889, 0.3523809523809524, 0.8604651162790697, 0.5
RF, TF-IDF, 18, 0.8489326765188834, 0.3008130081300813, 0.8604651162790697, 0.4457831325301206
RF, Count, 19, 0.9014778325123153, 0.4065934065934066, 0.8604651162790697, 0.5522388059701493
RF, TF-IDF, 19, 0.8735632183908046, 0.34545454545454546, 0.8837209302325582, 0.4967320261437908
RF, Count, 20, 0.8949096880131363, 0.3793103448275862, 0.7674418604651163, 0.5076923076923077
RF, TF-IDF, 20, 0.8981937602627258, 0.3855421686746988, 0.7441860465116279, 0.507936507936508
RF, Count, 21, 0.8850574712643678, 0.36893203883495146, 0.8837209302325582, 0.5205479452054794
RF, TF-IDF, 21, 0.8669950738916257, 0.32727272727272727, 0.8372093023255814, 0.47058823529411764
RF, Count, 22, 0.8653530377668309, 0.32432432432432434, 0.8372093023255814, 0.4675324675324676
RF, TF-IDF, 22, 0.8932676518883416, 0.39622641509433965, 0.9767441860465116, 0.5637583892617449
RF, Count, 23, 0.8637110016420362, 0.32142857142857145, 0.8372093023255814, 0.4645161290322581
RF, TF-IDF, 23, 0.8669950738916257, 0.32407407407407407, 0.813953488372093, 0.4635761589403974
RF, Count, 24, 0.9014778325123153, 0.4105263157894737, 0.9069767441860465, 0.5652173913043478
RF, TF-IDF, 24, 0.8604269293924466, 0.33064516129032256, 0.9534883720930233, 0.49101796407185627
RF, Count, 25, 0.8817733990147784, 0.35051546391752575, 0.7906976744186046, 0.4857142857142857
RF, TF-IDF, 25, 0.8686371100164204, 0.32038834951456313, 0.7674418604651163, 0.4520547945205479
RF, Count, 26, 0.8669950738916257, 0.3333333333333333, 0.8837209302325582, 0.48407643312101906
RF, TF-IDF, 26, 0.8784893267651889, 0.34951456310679613, 0.8372093023255814, 0.49315068493150693
RF, Count, 27, 0.8834154351395731, 0.36538461538461536, 0.8837209302325582, 0.5170068027210885
RF, TF-IDF, 27, 0.8834154351395731, 0.36538461538461536, 0.8837209302325582, 0.5170068027210885
RF, Count, 28, 0.8407224958949097, 0.2923076923076923, 0.8837209302325582, 0.4393063583815029
RF, TF-IDF, 28, 0.8719211822660099, 0.34782608695652173, 0.9302325581395349, 0.5063291139240506
RF, Count, 29, 0.8899835796387521, 0.37755102040816324, 0.8604651162790697, 0.5248226950354609
RF, TF-IDF, 29, 0.8604269293924466, 0.3055555555555556, 0.7674418604651163, 0.4370860927152318
RF, Count, 30, 0.8210180623973727, 0.27702702702702703, 0.9534883720930233, 0.4293193717277487
RF, TF-IDF, 30, 0.8850574712643678, 0.36893203883495146, 0.8837209302325582, 0.5205479452054794
RF, Count, 31, 0.8949096880131363, 0.39805825242718446, 0.9534883720930233, 0.5616438356164384
RF, TF-IDF, 31, 0.8538587848932676, 0.2982456140350877, 0.7906976744186046, 0.43312101910828027
RF, Count, 32, 0.8784893267651889, 0.3434343434343434, 0.7906976744186046, 0.47887323943661964
RF, TF-IDF, 32, 0.8522167487684729, 0.2956521739130435, 0.7906976744186046, 0.43037974683544306
RF, Count, 33, 0.8784893267651889, 0.34951456310679613, 0.8372093023255814, 0.49315068493150693
RF, TF-IDF, 33, 0.8653530377668309, 0.3274336283185841, 0.8604651162790697, 0.47435897435897434
RF, Count, 34, 0.8111658456486043, 0.2662337662337662, 0.9534883720930233, 0.41624365482233494
RF, TF-IDF, 34, 0.8981937602627258, 0.4, 0.8837209302325582, 0.5507246376811594
RF, Count, 35, 0.8949096880131363, 0.39805825242718446, 0.9534883720930233, 0.5616438356164384
RF, TF-IDF, 35, 0.8472906403940886, 0.30158730158730157, 0.8837209302325582, 0.44970414201183423
RF, Count, 36, 0.8850574712643678, 0.35789473684210527, 0.7906976744186046, 0.4927536231884058
RF, TF-IDF, 36, 0.8472906403940886, 0.3076923076923077, 0.9302325581395349, 0.4624277456647398
RF, Count, 37, 0.8949096880131363, 0.39805825242718446, 0.9534883720930233, 0.5616438356164384
RF, TF-IDF, 37, 0.8752052545155994, 0.34579439252336447, 0.8604651162790697, 0.4933333333333333
RF, Count, 38, 0.8702791461412152, 0.3448275862068966, 0.9302325581395349, 0.5031446540880503
RF, TF-IDF, 38, 0.8637110016420362, 0.3333333333333333, 0.9302325581395349, 0.49079754601226994
